scac,pol,pod,tsp,service_codes
COSU,CNNGB,FRLEH,FRFOS,AEM1
COSU,CNNGB,FRLEH,FRFOS,
COSU,CNNGB,FRLEH,GRPIR;FRFOS,AEU3;AEM1
COSU,CNNGB,FRLEH,,AEU6
COSU,CNNGB,FRLEH,GRPIR;FRFOS,;AEM1
COSU,CNNGB,FRLEH,,AEU2
COSU,CNNGB,ROCND,,
MAEU,CNXMN,SEGOT,MYTPP,;
MAEU,VNSGN,DKAAR,MYTPP,;
MSCU,CNSHA,FRFOS,,
MSCU,PLGDY,ILASH,FRLEH,;
MSCU,USSAV,BRSSZ,,
MSCU,VNVUT,GBTEE,MYTPP;BEANR,;LION SERVICE;ANTWERP - TEESPORT - GRANGEMOUTH SERVICE
MSCU,VNVUT,GBTEE,MYTPP;BEANR,;;ANTWERP - TEESPORT - GRANGEMOUTH SERVICE
ONEY,COBUN,PECLL,,AX2
ONEY,COBUN,PECLL,,AX3
COSU,CNSHA,SEGOT,NLRTM,AEU5;SNX1
COSU,CNSHA,SEGOT,NLRTM,AEU6;SNX1
COSU,CNSHA,SEGOT,NLRTM,;SNX1
COSU,CNSHA,SEGOT,NLRTM,AEU2;SNX1
COSU,CNSHA,SEGOT,NLRTM,AEU3;SNX1
COSU,CNNGB,USBOS,,AWE1
COSU,CNNGB,SIKOP,GRPIR,;AGT
COSU,CNNGB,SIKOP,,
MAEU,CNYTN,LTKLJ,PLGDN,;
MAEU,VNSGN,MXZLO,CNSHA,;;
MSCU,CNTAO,MXZLO,,
MSCU,TRALI,ITBRI,ITGIT,;
MSCU,USSAV,SAJED,ITGIT,;
MSCU,ZACPT,USHOU,BSFPO,;
CMDU,USMSY,DEBRV,,VICTORY
COSU,CNNSA,AUMEL,HKHKG,;A3S
COSU,CNNKG,AUADL,SGSIN,AEU2;ASAL
COSU,CNNKG,AUADL,SGSIN,RES2;ASAL
COSU,CNNKG,AUADL,SGSIN,AEU2;AAA2
COSU,CNNKG,AUADL,SGSIN,RES2;AAA2
COSU,INMAA,AUSYD,SGSIN,FCE;AAA2
COSU,INMAA,AUSYD,SGSIN,FCE;AAA1
COSU,INMAA,AUSYD,SGSIN,FCE;ASAL
COSU,INMAA,AUSYD,SGSIN,FCS;ASAL
COSU,INMAA,AUSYD,SGSIN,FCS;AAA1
COSU,INMAA,AUSYD,SGSIN,FCS;AAA2
MAEU,DEHAM,BRPNG,,
MAEU,DEHAM,BRPNG,MAPTM,;
MAEU,DEHAM,BRPNG,ESALG,;
MSCU,USORF,NLRTM,,
MSCU,USHOU,EGALY,ESBCN;TRTEK,;;
MSCU,VNHPH,CLSAI,KRPUS,SANTANA SERVICE;ANDES EXPRESS SERVICE
COSU,INNSA,BEANR,,
COSU,INNSA,BEANR,FRFOS,MINA
COSU,CNSHA,ITGOA,GRPIR,AEU3;AEM1
COSU,CNSHA,ITGOA,,
COSU,CNSHA,ITGOA,GRPIR,;AEM1
COSU,CNSHA,ITGOA,,AEM1
COSU,CNNSA,AUSYD,HKHKG,;A3S
COSU,CNNSA,AUSYD,CNSHK,;
COSU,CNNSA,AUSYD,CNSHK,;A3S
COSU,INMAA,CLIQQ,CNSHA;PECLL,FCE;WSA3;IQQ
COSU,INMAA,CLIQQ,CNSHA;PECLL,FCE;WSA;IQQ
MAEU,KRPUS,ROCND,EGPSE,;
MSCU,INHZA,USNYC,INMUN,;
MSCU,VNHPH,USTPA,KRPUS,SANTANA SERVICE;
MSCU,ZAZBA,ECGYE,NLRTM,;
COSU,AEJEA,SAJED,,
COSU,AEJEA,SAJED,,MINA
COSU,CNSHA,PAMIT,,GME
COSU,CNSHA,PAMIT,,CAX1
COSU,CNNSA,HNPCR,CNSHK;JMKIN,;CAX1;GCX
COSU,INMAA,GTPRQ,CNSHA,FCE;WSA2
MAEU,PHCEB,USEWR,KRPUS,;
MAEU,PHCEB,USEWR,KRPUS,;TP12
MAEU,BEANR,HKHKG,SGSIN,;
MSCU,IEORK,USNYC,BEANR,;
MSCU,VNVUT,USSEA,KRPUS,;CHINOOK
MSCU,VNVUT,ARBUE,SGSIN,;IPANEMA SERVICE
MSCU,VNVUT,ARBUE,MYTPP;PTSIE,;LION SERVICE;
MSCU,VNVUT,ARBUE,SGSIN;ESVLC;BRSSZ,;;;
MSCU,AEAUH,USLGB,CNYTN,;JAGUAR
COSU,CNNGB,NLRTM,,
COSU,CNNGB,NLRTM,,AEU3
COSU,CNNGB,NLRTM,,AEU5
COSU,CNNGB,NLRTM,,AEU6
COSU,CNNGB,NLRTM,,AEU2
COSU,CNTAO,ITVDL,GRPIR,AEU3;PNX
COSU,CNTAO,ITVDL,GRPIR;ITGOA,AEU3;AEM1
COSU,CNTAO,ITVDL,GRPIR,AEU3;EMA
COSU,CNTAO,ITVDL,ITGOA,
COSU,CNTAO,ITVDL,GRPIR,AEM1;EMA
COSU,CNTAO,ITVDL,ITGOA,AEM1
COSU,CNTAO,ITVDL,GRPIR,AEM1;PNX
COSU,CNNTG,AUSYD,,A3C
COSU,CNNTG,AUSYD,,A3N
COSU,CNNTG,AUSYD,CNSHA,CB1;A3N
COSU,CNNTG,AUSYD,CNSHA,CB1;A3C
COSU,CNNTG,AUSYD,CNSHA,CB7;A3C
COSU,INMUN,AEAUH,AEKHL,AGI2
MAEU,ZACPT,DKKAL,DEBRV,;
MAEU,BRSSZ,ZAPLZ,ZADUR,;
MSCU,INCOK,NLRTM,LKCMB,;
MSCU,AEJEA,ITVCE,INMUN;TRTEK,;;
MSCU,AEJEA,ITVCE,ITGIT,;
MSCU,ZACPT,DKAAR,BEANR,;
MSCU,AEJEA,GBFXT,INMUN,;
COSU,CNTAO,AUSYD,CNNGB,CII;A3C
COSU,CNTAO,AUSYD,,A3N
COSU,CNTXG,USNYC,KRPUS,;AWE2
COSU,CNTXG,USNYC,USLGB,CEN
COSU,CNTXG,USNYC,CNTAO,CEN;AWE2
COSU,CNTXG,USNYC,CNTAO,CEN;AWE1
COSU,CNSHA,BRRIO,,ESA
COSU,INMUN,AESHJ,AEJEA,ASX;KGS
MAEU,BEANR,SAJED,,
MAEU,CNDLC,COBUN,KRPUS,;
MAEU,CNDLC,COBUN,KRPUS,;AC3
MSCU,ITSPE,USOAK,,
MSCU,BEANR,AUFRE,SGSIN,LION SERVICE;CAPRICORN SERVICE
MSCU,BEANR,AUFRE,,
MSCU,ZADUR,AUFRE,MUPLU,;
MSCU,AEJEA,NOOSL,INMUN;BEANR,;;
COSU,CNTAO,USSEA,KRPUS,;MPNW
COSU,CNTAO,USSEA,CNNGB,CII;MPNW
COSU,CNTAO,USSEA,CNSHA,CEN;CPNW
COSU,CNWHI,AUBNE,,A3N
COSU,CNWHI,AUBNE,,A3C
COSU,CNWHI,AUBNE,,JKN
COSU,CNWHI,AUBNE,HKHKG,JKN;CAP
COSU,CNWHI,AUBNE,CNSHA,;A3N
COSU,CNWHI,AUBNE,CNSHA,;A3C
COSU,CNSHA,CLSAI,,WSA
COSU,CNSHA,CLSAI,,WSA3
COSU,INMUN,GTPRQ,CNSHA,PMX;WSA2
COSU,INMUN,GTPRQ,HKHKG,AIS;WSA2
COSU,INMUN,GTPRQ,CNSHA,AS1;WSA2
MAEU,CNJMN,GBFXT,CNNSA,;
MAEU,CNDLC,ESBCN,EGPSE,;AE11
MSCU,BEANR,CNSHA,,LION SERVICE
MSCU,BEANR,CNSHA,,
MSCU,CNNSA,GBTEE,MYTPP;BEANR,;LION SERVICE;ANTWERP - TEESPORT - GRANGEMOUTH SERVICE
MSCU,CNNSA,GBTEE,MYTPP;BEANR,;;ANTWERP - TEESPORT - GRANGEMOUTH SERVICE
MSCU,ZADUR,BEANR,,
MSCU,AEJEA,OMSOH,INMUN,;MIDDLE EAST FEEDER - LOOP 4
MSCU,AEJEA,OMSOH,,MIDDLE EAST FEEDER - LOOP 4
MSCU,AEJEA,OMSOH,LKCMB;SAKAC;AEAUH,IAS - INDIA AFRICA SERVICE;;;MIDDLE EAST FEEDER - LOOP 4
COSU,CNTXG,USLGB,KRPUS,;AAC4
COSU,CNTXG,USLGB,,CEN
COSU,CNTXG,USLGB,CNTAO;USLAX,CEN;AAC2
COSU,CNXMN,NLRTM,SGSIN,AEU1;AEU6
COSU,CNXMN,NLRTM,SGSIN,AEU1;AEU3
COSU,CNXMN,NLRTM,,
COSU,CNSHA,DEWVN,DEHAM,AEU2
COSU,CNSHA,DEWVN,,AEU2
COSU,CNSHA,DEWVN,DEHAM,AEU3
COSU,CNSHA,DEWVN,,AEU1
COSU,CNSHA,DEWVN,PLGDN;DEHAM,AEU1;RFS
COSU,INMUN,ITLIV,ITGOA,MINA
COSU,INMUN,ITLIV,GRPIR;ITSPE,MINA;AEM1
COSU,INMUN,ITLIV,ITGOA,MINA;
MAEU,CNSHA,IEDUB,NLRTM,;
MAEU,CNDLC,HRRJK,,
MSCU,CNNGB,ILASH,,
MSCU,CNSHA,NOSVG,DEBRV,;
MSCU,ZADUR,CLSAI,NLRTM,;
MSCU,ARBUE,USSAV,,
COSU,INMUN,BEANR,,
COSU,INMUN,BEANR,FRFOS,MINA
COSU,CNZSN,ALDRZ,HKHKG;GRPIR,;AEM1;AIG
